data;horario;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;mortos
31/01/2021;16:01:00;3 - Acidente com Danos Materiais;1,1;BR-116/PR;Sul;Choque - Arvore;
30/01/2021;23:47:00;3 - Acidente com Danos Materiais;55,7;BR-116/PR;Sul;Atropelamento de Animal;
29/01/2021;15:49:00;3 - Acidente com Danos Materiais;44,4;BR-116/PR;Sul;Capotamento;
29/01/2021;15:52:00;3 - Acidente com Danos Materiais;45;BR-116/PR;Sul;Colisão Lateral;
29/01/2021;18:24:00;3 - Acidente com Danos Materiais;8,42;BR-116/PR;Norte;Colisão Traseira;
28/01/2021;06:20:00;3 - Acidente com Danos Materiais;17;BR-116/PR;Sul;Saida de Pista;
27/01/2021;16:42:00;3 - Acidente com Danos Materiais;51,94;BR-116/PR;Sul;Saida de Pista;
27/01/2021;17:23:00;1 - Acidente com Vitima Fatal;39,9;BR-116/PR;Sul;Atropelamento - Andarilho;1
27/01/2021;17:27:00;3 - Acidente com Danos Materiais;1;BR-116/PR;Sul;Saida de Pista;
27/01/2021;19:54:00;3 - Acidente com Danos Materiais;30,601;BR-116/PR;Sul;Saida de Pista;
26/01/2021;15:55:00;3 - Acidente com Danos Materiais;66,5;BR-116/PR;Norte;Colisão Traseira;
25/01/2021;03:03:00;3 - Acidente com Danos Materiais;43,6;BR-116/PR;Sul;Saida de Pista;
25/01/2021;10:07:00;3 - Acidente com Danos Materiais;1,05;BR-116/PR;Sul;Saida de Pista;
25/01/2021;11:01:00;3 - Acidente com Danos Materiais;9,9;BR-116/PR;Sul;Saida de Pista;
25/01/2021;13:09:00;3 - Acidente com Danos Materiais;5,5;BR-116/PR;Norte;Saida de Pista;
25/01/2021;13:58:00;3 - Acidente com Danos Materiais;44,4;BR-116/PR;Sul;Saida de Pista;
25/01/2021;18:05:00;3 - Acidente com Danos Materiais;16,9;BR-116/PR;Norte;Saida de Pista;
25/01/2021;18:51:00;3 - Acidente com Danos Materiais;38,3;BR-116/PR;Sul;Saida de Pista;
25/01/2021;19:01:00;3 - Acidente com Danos Materiais;46,8;BR-116/PR;Norte;Saida de Pista;
25/01/2021;19:39:00;3 - Acidente com Danos Materiais;44,6;BR-116/PR;Sul;Saida de Pista;
24/01/2021;09:10:00;3 - Acidente com Danos Materiais;50,4;BR-116/PR;Norte;Saida de Pista;
24/01/2021;11:51:00;3 - Acidente com Danos Materiais;43;BR-116/PR;Sul;Capotamento;
24/01/2021;13:14:00;3 - Acidente com Danos Materiais;51,3;BR-116/PR;Norte;Saida de Pista;
